Parameter,Mandatory/Optional, Format, Description
.. _XPriceListElement:,, Object **XPriceListElement** ,
category_id,O,long,"identifier

* for Distribution service: line / category / subcategory
* for Have Product service: category / group / subgroup"
category_name,M,String,"name

* for Distribution service: line / category / subcategory
* for Have Product service: category / group / subgroup"
children,O/M,List<XPriceListElement_>,"array of objects;

* for Distribution service: category / subcategory data
* for Have Product service: group / subgroup data"
prods,M,List<XPriceListProduct_>,array of objects; product data
